RBR,Naziv,Autor,Autor komentara,Autor dodataka,Urednik,Prevoditelj,Ilustrator,Naslov,Godina izdavanja,Tiskar,Mjesto tiskanja,Ustanova,Mjesto,,
12,ARISTOTELES,ARISTOTELES,"Thomas Aquinas, sanctus","Ludovicus, de Ferrara",,"Bruni, Leonardo",,Politica,1492,"Silber, Eucharius",Rim,Prva gimnazija Split,Split,,
11,ANTONINUS FLORENTINUS,ANTONINUS FLORENTINUS,,,,,,Summa theologica. Pars III.,1485,"Paltašiæ, Andrija",Venecija,"Nacionalna i sveučilišna knjižnica u Zagrebu
Zbirka Baltazara Bogišića
Franjevački samostan Navještenja Marijina","Zagreb
Cavtat
Košljun",,
10,"ALIGHIERI, DANTE    ","ALIGHIERI, DANTE","Landinus, Christophorus","Ficinus, Marsilius",,,,La Commedia,1487,"Dobriæeviæ, Dobriæ",Brescia,Nacionalna i sveučilišna knjižnica u Zagrebu,Zagreb,,
9,ALBUMASAR,ALBUMASAR,,,,,,Introductorium in astronomiam,1489,"Ratdolt, Erhard",Augsburg,Nacionalna i sveučilišna knjižnica u Zagrebu,Zagreb,,
8,"ALBERTUS MAGNUS, SANCTUS    ","ALBERTUS MAGNUS, SANCTUS",,,,,,Compendium theologicae veritatis,1483,"Grgur Senjanin
Jacobum Britannicum",Venecija,"Nacionalna i sveučilišna knjižnica u Zagrebu
Nacionalna i sveučilišna knjižnica u Zagrebu
Zbirka Baltazara Bogišića
Franjevački samostan Male braće","Zagreb
Zagreb
Cavtat
Dubrovnik",,
7,ALBERTUS DE SAXONIA,ALBERTUS DE SAXONIA,,,,,,De proportionibus.,1487,"Paltašiæ, Andrija",Venecija,"Nacionalna i sveučilišna knjižnica u Zagrebu
Zbirka Baltazara Bogišića","Zagreb
Cavtat",,
6,AESOPUS,AESOPUS,,"Zucco, Accio",,,,Aesopus moralisatus,1487,"Dobriæeviæ, Dobriæ",Brescia,Franjevački samostan Gospe od anđela,Visovac,,
5,"AEGIDII, GUILLERMUS","AEGIDII, GUILLERMUS",,,"Dobiæ, Dobriæeviæ",,,Super coelestium motuum indigatione,1494,"Darleri, Carlo",Cremona,Zbirka Baltazara Bogišića,Cavtat,,
4,MISSALE ROMANUM 1494,,,,,,,Senjski glagoljski misal,1494,"Bedrièiæ, Silvestar
Turèiæ, Gašpar
Baromiæ, Blaž",Senj,Franjevački samostan sv. Franje,Cres,,
3,MISSALE ROMANUM 1483,,,,,,,Misal po zakonu rimskoga dvora,1483,,,"Nacionalna i sveučilišna knjižnica u Zagrebu
Nacionalna i sveučilišna knjižnica u Zagrebu
Dominikanski samostan Sv. Marije Milosne
Franjevački samostan Navještenja Marijina
Knjižnica Hrvatske akademije znanosti i umjetnosti
Knjižnica Hrvatske akademije znanosti i umjetnosti
Knjižnice Grada Zagreba
Samostan sv. Franje ksaverskoga
Staroslavenski institut","Zagreb
Zagreb
Bol
Košljun
Zagreb
Zagreb
Zagreb
Zagreb
Zagreb",,
2,"CARCANO, MICHAEL DE     ","Carcano, Michele",,,,"Blažioloviæ, Blaž",,Spovid općena,1496,"Baromiæ, Blaž",Senj,Samostan sv. Franje ksaverskoga,Zagreb,,
1,BREVIARIUM,,,,,,,Breviarium romanum,1493,"Torresanus, Andreas, de Asula
Baromiæ, Blaž",Venecija,"Nacionalna i sveučilišna knjižnica u Zagrebu
Nacionalna i sveučilišna knjižnica u Zagrebu","Zagreb
Zagreb",,
